NIT;Razon_Social;Resolucion;Fecha
890921665;ESPUMAS MEDELLIN;850;6/10/1986
890900943;COLOMBIANA DE COMERCIO SA;1910;12/03/1986
860002066;ARTEFACTOS AMERICAN LTDA;530;5/05/1987
860002119;HUNTER DOUGLAS DE COLOMBIA S.A.;1097;8/10/1987
860000989;ALVILLA S.A.;496;4/28/1987
860001093;ESCOBAR Y MARTINEZ S.A. E Y M SA;946;7/23/1987
860001576;MARCALI S.A.;1319;10/01/1987
860000006;TEAM FOODS COLOMBIA S.A.;486;4/28/1987
860000189;CARCO S.A.;1329;10/01/1987
860000615;DISTRIBUIDORA CORDOBA LTDA;760;6/15/1987
860000751;HENKEL COLOMBIANA S.A.;476;4/28/1987
860051728;ASAM LTDA;471;4/28/1987
860031028;SIEMENS SOCIEDAD ANONIMA;1136;8/14/1987
860020058;DISTRIBUIDORA TOYOTA LTDA;1323;10/01/1987
860006327;LABORATORIOS ERMA S.A.;754;6/15/1987
860009808;HOLCIM COLOMBIA S.A.;1850;12/23/1987
860037943;COLOMBIANA DE INCUBACION S.A. INCUBACOL;973;7/29/1987
890300012;COLPOZOS S.A.S.;1077;8/06/1987
890300225;COEXITO S.A.;528;5/05/1987
890300292;LABORATORIOS BAXTER S.A.;1846;12/23/1987
890101272;SEMPERTEX DE COLOMBIA S.A.;753;6/15/1987
860054249;RESPRESENTACIONES CONTINENTAL S.A.;495;4/28/1987
860003228;FLEXON S.A.;845;7/03/1987
860003831;PRODUCTOS RAMO S.A.;1325;10/01/1987
860002537;COMPANIA COLOMBIANA DE EMPAQUE BATES S.A.;759;6/15/1987
890900424;MICROPLAST ANTONIO PALACIOS & COMPAÑÍA S.A.;744;6/15/1987
890900486;LAMINACION DE COLOMBIA S.A. LAMINACO;978;7/29/1987
890901446;TROPICAL COFFEE COMPANY S.A.;1847;12/23/1987
890905790;COLOMBIANA FLEXOGRAFICA DE PLASTICOS S.A.;749;6/15/1987
890301463;"LABORATORIOS FRANCO COLOMBIANO ""LAFRANCOL"" S.A.";952;7/24/1987
890301956;CASA SUECA S.A.;490;4/28/1987
890302384;LABORATORIOS CALIFORNIA S.A.;1009;7/30/1987
890302609;SONOCO DE COLOMBIANA LTDA.;972;7/29/1987
890300510;CIA COLOMBIANA DE ESMALTES S.A.;497;4/28/1987
890300684;INDUSTRIAS ATLANTIS DE COLOMBIA S.A.;1548;11/18/1987
890300686;CADBURY ADAMS COLOMBIA S.A.;947;7/23/1987
890301054;TORRECAFE AGUILA ROJA Y CIA S.A.;1326;10/01/1987
890304130;ALIMENTOS CARNICOS S.A.;1840;12/23/1987
890300484;HEXION QUIMICA S.A.;758;6/15/1987
890802586;HECTOR MEJIA A & CIA LTDA ARME;146;2/12/1987
890914336;DURESPO S.A.;1081;8/06/1987
890914614;BOHLER - UDDEHOLM COLOMBIA S.A.;755;6/15/1987
