CIIU;ANIO;DECLARANTES;ING_BRUTOS_MM;COSTOS_MM;RENTA_LIQ_MM;MARGEN_COSTO;MARGEN_RENTA;NOMBRE
6611;2022;184;182368.4;117679.8;9413.1;0.6453;0.0516;Administración de mercados financieros
6611;2023;181;267900.1;213164.1;14995.2;0.7957;0.056;Administración de mercados financieros
6611;2024;178;344051.6;224913.3;47515.7;0.6537;0.1381;Administración de mercados financieros
6612;2022;342;2282718.3;1911040.5;297782.3;0.8372;0.1305;Corretaje de valores y de contratos de productos básicos
6612;2023;329;2631228.6;2281617.6;294409.6;0.8671;0.1119;Corretaje de valores y de contratos de productos básicos
6612;2024;320;2355952.8;1753715.0;516778.6;0.7444;0.2194;Corretaje de valores y de contratos de productos básicos
6613;2022;2149;13427654.7;2662326.0;1871292.7;0.1983;0.1394;Otras actividades relacionadas con el mercado de valores
6613;2023;2166;12856080.2;3471600.9;2355107.7;0.27;0.1832;Otras actividades relacionadas con el mercado de valores
6613;2024;2127;14551396.9;5454077.6;1814815.6;0.3748;0.1247;Otras actividades relacionadas con el mercado de valores
6614;2022;26;767.8;402.9;403.9;0.5248;0.526;Actividades de las sociedades de intermediación cambiaria y de servicios financieros especiales
6614;2023;42;8037.2;3384.2;1748.1;0.4211;0.2175;Actividades de las sociedades de intermediación cambiaria y de servicios financieros especiales
6614;2024;50;55172.0;45945.2;1435.2;0.8328;0.026;Actividades de las sociedades de intermediación cambiaria y de servicios financieros especiales
6615;2022;141;105093.4;88335.5;17351.3;0.8405;0.1651;Actividades de los profesionales de compra y venta de divisas
6615;2023;164;123237.3;106668.4;18185.9;0.8656;0.1476;Actividades de los profesionales de compra y venta de divisas
6615;2024;179;143127.2;129750.4;15674.7;0.9065;0.1095;Actividades de los profesionales de compra y venta de divisas
